cell name,mos_num,score,width,bbox,pin_access,symmetric,drc,runtime
AO22D2,12,95.13681658,38.46153846,20,9.407745573,10,10,7.267532547
AOI21D2,12,96.03670329,40,20,8.767483379,10,10,7.269219908
GAOI21D2,12,95.95433343,40,20,8.682384308,10,10,7.271949125
GND3D2,12,96.03833955,40,20,8.767483379,10,10,7.270856167
GNR3D2,12,96.04032042,40,20,8.767483379,10,10,7.272837037
GOAI21D2,12,96.03960452,40,20,8.767483379,10,10,7.272121146
IAO21D2,12,96.03878031,40,20,8.767483379,10,10,7.271296933
IOA21D2,12,96.03812354,40,20,8.767483379,10,10,7.270640161
ND2OPTIBD2,12,82.162894,33.33333333,17.33333333,8.232233047,6,10,7.263994291
ND2OPTPAD2,12,88.52067714,36.92307692,18.33333333,10,6,10,7.264266879
ND3D2,12,96.03856972,40,20,8.767483379,10,10,7.271086344
NR2OPTIBD2,12,82.16360021,33.33333333,17.33333333,8.232233047,6,10,7.264700499
OA211D2,12,96.90970961,40,20,9.639156082,10,10,7.270553531
OA22D2,12,95.14095247,38.46153846,20,9.407745573,10,10,7.271668434
OAI21D2,12,96.03909925,40,20,8.767483379,10,10,7.271615871
OR4D2,12,96.9105298,40,20,9.639156082,10,10,7.271373718
GAOI21MCOD2,12,96.25053246,40,20,8.979379274,10,10,7.271153191
GND2MCOD2,12,96.59143984,40,20,9.319586183,10,10,7.271853658
GND3MCOD2,12,96.03858737,40,20,8.767483379,10,10,7.271103993
GNR3MCOD2,12,96.04028964,40,20,8.767483379,10,10,7.272806264
AND4V4,12,96.91051953,40,20,9.639156082,10,10,7.271363445
AO112V4,12,96.91040422,40,20,9.639156082,10,10,7.27124814
AO13V4,12,96.91044579,40,20,9.639156082,10,10,7.271289709
AO1B2V4,12,95.25518189,39.21568627,20,8.767483379,10,10,7.272012236
AO22V4,12,95.1402361,38.46153846,20,9.407745573,10,10,7.270952067
AOI12V4,12,96.03997091,40,20,8.767483379,10,10,7.272487527
NAND3V4,12,96.04016377,40,20,8.767483379,10,10,7.272680396
NOR3V4,12,92.42417789,37.55102041,18.83333333,8.767483379,10,10,7.272340772
OA112V4,12,96.91023496,40,20,9.639156082,10,10,7.271078881
OA13V4,12,96.91058965,40,20,9.639156082,10,10,7.271433569
OA1B2V4,12,96.03935823,40,20,8.767483379,10,10,7.271874855
OA22V4,12,95.14027084,38.46153846,20,9.407745573,10,10,7.270986803
OAI12V4,12,96.04028201,40,20,8.767483379,10,10,7.272798632
OR4V4,12,96.91057914,40,20,9.639156082,10,10,7.271423059
TBUFV4,12,88.4274307,38.51851852,17.66666667,8.979379274,6,10,7.262866238
IND3D2,14,95.63914479,40,20,8.373136861,10,10,7.266007926
INR3D2,14,95.63887113,40,20,8.373136861,10,10,7.265734269
AO212V4,14,95.2829925,38.51851852,20,9.5,10,10,7.26447398
AO32V4,14,96.97967234,40,20,9.714285714,10,10,7.265386627
AOI21BV4,14,95.34804474,38.51851852,19.83333333,9.729367061,10,10,7.266825829
CLKMUX2V4,14,94.31562892,37.73584906,19.83333333,9.481777377,10,10,7.264669154
DEL2V4,14,97.09767412,40,19.83333333,10,10,10,7.264340782
MAJ23V4,14,96.39046607,40,20,9.125182235,10,10,7.265283838
MUX2V4,14,93.62083896,37.03703704,20,9.319586183,10,10,7.264215741
OA212V4,14,95.2836746,38.51851852,20,9.5,10,10,7.265156082
OA32V4,14,96.97916574,40,20,9.714285714,10,10,7.264880028
OAI21BV4,14,95.34738846,38.51851852,19.83333333,9.729367061,10,10,7.266169545
MUX2D2,15,90.63104814,37.03703704,19.16666667,8.166760197,9,10,7.260584241
AOI211D2,16,96.04647515,40,20,8.788080036,10,10,7.258395119
AOI22D2,16,96.21479398,40,20,8.954174967,10,10,7.260619011
AOI31D2,16,96.0498296,40,20,8.788080036,10,10,7.261749566
CKMUX2D2,16,89.11717259,34.07407407,20,9.785725218,8,10,7.257373302
GMUX2D2,16,93.8455388,37.14285714,20,9.440983006,10,10,7.261698649
GMUX2ND2,16,93.85488673,37.14285714,20,9.452277442,10,10,7.259752145
GXNR2D2,16,93.15510168,37.14285714,19,9.75,10,10,7.262244539
GXOR2D2,16,93.15505813,37.14285714,19,9.75,10,10,7.26220099
IAO22D2,16,95.38948683,38.57142857,20,9.555555556,10,10,7.262502703
IOA22D2,16,95.38803301,38.57142857,20,9.555555556,10,10,7.261048879
MAOI22D2,16,95.94977252,40,20,8.68898894,10,10,7.260783585
MOAI22D2,16,95.95048518,40,20,8.68898894,10,10,7.261496244
ND3OPTPAD2,16,87.85239471,37.14285714,18,9.455137632,6,10,7.254399935
ND4D2,16,96.05011256,40,20,8.788080036,10,10,7.262032522
OAI211D2,16,96.04983407,40,20,8.788080036,10,10,7.261754034
OAI22D2,16,96.21594056,40,20,8.954174967,10,10,7.261765593
OAI31D2,16,96.04877347,40,20,8.788080036,10,10,7.260693431
XNR2D2,16,88.3968386,35.55555556,17.83333333,9.75,8,10,7.25794971
GOAI21MCOD2,16,94.80277807,38.57142857,20,8.969597945,10,10,7.261751553
LVLSRLHD2,16,84.76168614,37.24137931,16.5,9.772727273,4,10,7.247579552
AO222V4,16,95.4078316,38.57142857,20,9.575687436,10,10,7.260715595
AO33V4,16,97.02832979,40,20,9.767076252,10,10,7.261253533
AOI112V4,16,96.05134446,40,20,8.788080036,10,10,7.263264428
AOI13V4,16,96.05099949,40,20,8.788080036,10,10,7.262919454
AOI22BBV4,16,95.52879338,40,20,8.267103671,10,10,7.261689711
AOI22V4,16,96.21570847,40,20,8.954174967,10,10,7.261533508
CLKXOR2V4,16,91.20483952,40,16.16666667,7.775608697,10,10,7.262564152
NAND3BBV4,16,93.16314077,38.51851852,18.66666667,8.715747083,10,10,7.262208498
NAND4BBV4,16,96.29371437,40,20,9.031754163,10,10,7.261960208
NAND4V4,16,85.38433352,33.33333333,16,8.788080036,10,10,7.262920154
NAND4XXBBV4,16,95.95077587,40,20,8.68898894,10,10,7.261786933
NOR3BBV4,16,93.16274152,38.51851852,18.66666667,8.715747083,10,10,7.261809248
NOR4BBV4,16,96.29342388,40,20,9.031754163,10,10,7.261669715
NOR4V4,16,85.3831489,33.33333333,16,8.788080036,10,10,7.261735532
NOR4XXBBV4,16,95.95112183,40,20,8.68898894,10,10,7.262132888
OA222V4,16,95.40752579,38.57142857,20,9.575687436,10,10,7.26040978
OA33V4,16,97.02823894,40,20,9.767076252,10,10,7.261162691
OAI112V4,16,96.05001593,40,20,8.788080036,10,10,7.261935894
OAI13V4,16,96.05016756,40,20,8.788080036,10,10,7.262087523
OAI22BBV4,16,95.95084251,40,20,8.68898894,10,10,7.261853571
OAI22V4,16,96.21685975,40,20,8.954174967,10,10,7.262684785
XNOR2V4,16,91.20397427,40,16.16666667,7.775608697,10,10,7.261698904
XOR2V4,16,91.20517783,40,16.16666667,7.775608697,10,10,7.26290247
MUX2ND2,17,91.50696193,35.71428571,20,9.536452771,9,10,7.256223442
MUX2OPTD2,17,85.12203664,34.07407407,17.66666667,9.127142529,7,10,7.254153372
NR3OPTPAD2,17,86.71376911,36.49122807,18.16666667,9.803176045,5,10,7.252698332
AOI21OPTREPBD2,18,92.13118577,38.62068966,19,9.260490027,8,10,7.250006089
IND4D2,18,95.66043696,40,20,8.405255545,10,10,7.255181412
LHQD2,18,90.97870287,37.33333333,18,8.392244875,10,10,7.253124663
LNQD2,18,90.97923006,37.33333333,18,8.392244875,10,10,7.253651848
MUX2NOPTD2,18,94.96257269,38.62068966,19.5,9.585421901,10,10,7.256461136
NR3D2,18,82.45602136,34.48275862,17,9.728035853,4,10,7.245226884
OAI21OPTREPBD2,18,92.13357142,38.62068966,19,9.260490027,8,10,7.252391741
XNR2OPTND2,18,92.46027441,38.62068966,16.83333333,9.75,10,10,7.256251426
XOR2D2,18,87.72408854,34.07407407,17.16666667,9.227421286,10,10,7.255926516
